SITE,ROW,COLUMN,REPEAT,REGIONINDEX,REGION,DATE,JULIAN,YEAR,COUNT,ACCURACY,NOTES,SOURCE
PTHO,16,12,1,1,SH,xx/xx/1990(91),NA,1990,8789,2,Assume acc=2,Table from Tom Hart
PTHO,16,13,1,1,SH,xx/xx/1991(92),NA,1991,10347,2,Assume acc=2,Table from Tom Hart
PTHO,16,14,1,1,SH,xx/xx/1992(93),NA,1992,10079,2,Assume acc=2,Table from Tom Hart
PTHO,16,16,1,1,SH,xx/xx/1994(95),NA,1994,9731,2,Assume acc=2,Table from Tom Hart
PTHO,16,17,1,1,SH,xx/xx/1995(96),NA,1995,10659,2,Assume acc=2,Table from Tom Hart
PTHO,16,18,1,1,SH,xx/xx/1996(97),NA,1996,9075,2,Assume acc=2,Table from Tom Hart
PTHO,16,32,1,1,SH,xx/xx/2010(11),NA,2010,5330,1,AMLR 2010/2011 Field Season Report,
DEVI,8,26,1,2,NE,12/31/04,61,2004,8802,2,,ASI
DEVI,8,30,1,2,NE,12/12/08,42,2008,14681,1,,ASI from photograph
BOOT,4,12,1,3,CW,xx/xx/1990,NA,1990,61,1,,W93
BOOT,4,22,1,3,CW,1/14/01,75,2000,18,1,,ASI
BOOT,4,23,1,3,CW,12/24/01,54,2001,34,1,,ASI
BOOT,4,23,2,3,CW,1/15/02,76,2001,12,1,,ASI
BOOT,4,27,1,3,CW,1/4/06,65,2005,17,1,,ASI
BOOT,4,29,1,3,CW,12/30/07,60,2007,10,1,,ASI
BOOT,4,30,1,3,CW,12/10/08,40,2008,11,1,,ASI
BOOT,4,31,1,3,CW,11/11/09,11,2009,13,1,,ASI
BOOT,4,31,2,3,CW,11/21/09,21,2009,15,1,,ASI
BOOT,4,31,3,3,CW,12/14/09,44,2009,14,1,,ASI
BOOT,4,32,1,3,CW,12/4/10,34,2010,11,1,,ASI
BOOT,4,32,2,3,CW,12/25/10,55,2010,11,1,,ASI
BOOT,4,32,3,3,CW,1/12/11,73,2010,9,1,,ASI
BOOT,4,32,4,3,CW,1/23/11,84,2010,10,1,,ASI
BOOT,4,34,1,3,CW,12/11/12,41,2012,15,1,,ASI
BOOT,4,35,1,3,CW,12/11/13,41,2013,12,1,,ASI
BOOT,4,35,2,3,CW,xx/xx/2013,NA,2013,9,1,,"Vernadsky, Pers. Comm."
BOOT,4,35,3,3,CW,12/21/13,51,2013,10,1,,ASI
BOOT,4,35,4,3,CW,1/1/14,62,2013,4,1,,ASI
BOOT,4,36,1,3,CW,12/21/14,51,2014,10,1,,ASI
BISC,3,6,1,3,CW,xx/xx/1984,NA,1984,2754,1,,MP for ASPA No. 139
BISC,3,18,1,3,CW,xx/xx/1996,NA,1996,1801,1,,MP for ASPA No. 139
BISC,3,21,1,3,CW,xx/xx/1999,NA,1999,1665,1,,MP for ASPA No. 139
BISC,3,22,1,3,CW,xx/xx/2000,NA,2000,1335,1,,MP for ASPA No. 139
BISC,3,23,1,3,CW,xx/xx/2001,NA,2001,692,1,,MP for ASPA No. 139
BISC,3,24,1,3,CW,xx/xx/2002,NA,2002,1025,1,,MP for ASPA No. 139
BISC,3,32,1,3,CW,12/15/10,45,2010,531,1,,ASI
BISC,3,33,1,3,CW,xx/xx/2011(12),NA,2011,567,1,,MP for ASPA No. 139
BISC,3,34,1,3,CW,xx/xx/2012(13),NA,2012,522,1,,MP for ASPA No. 139
CHRI,5,1,1,3,CW,12/8/79,38,1979,1292,1,,Parmelee and Parmalee Bulletin 
CHRI,5,1,2,3,CW,12/11/79,41,1979,1460,1,,Parmelee and Parmalee Bulletin 
CHRI,5,4,1,3,CW,1/2/83,63,1982,1425,1,,Parmelee and Parmalee Bulletin 
CHRI,5,5,1,3,CW,1/1/84,62,1983,1261,1,,Parmelee and Parmalee Bulletin 
CHRI,5,7,1,3,CW,12/2/85,32,1985,1459,1,,Parmelee and Parmalee Bulletin 
CORM,6,1,1,3,CW,12/11/79,41,1979,695,1,,Parmelee and Parmalee Bulletin 
CORM,6,2,1,3,CW,1/4/81,65,1980,890,1,,Parmelee and Parmalee Bulletin 
CORM,6,4,1,3,CW,12/8/82,38,1982,795,1,,Parmelee and Parmalee Bulletin 
CORM,6,5,1,3,CW,12/24/83,54,1983,623,1,,Parmelee and Parmalee Bulletin 
CORM,6,6,1,3,CW,12/13/84,43,1984,905,1,,Parmelee and Parmalee Bulletin 
CORM,6,7,1,3,CW,12/2/85,32,1985,872,1,,Parmelee and Parmalee Bulletin 
HUMB,10,1,1,3,CW,12/12/79,42,1979,2343,1,,Parmelee and Parmalee Bulletin 
HUMB,10,2,1,3,CW,12/31/80,61,1980,2140,1,,Parmelee and Parmalee Bulletin 
HUMB,10,5,1,3,CW,11/20/83,20,1983,2287,1,,Parmelee and Parmalee Bulletin 
HUMB,10,5,2,3,CW,12/28/83,58,1983,2393,1,,Parmelee and Parmalee Bulletin 
HUMB,10,6,1,3,CW,12/15/84,45,1984,2525,1,,Parmelee and Parmalee Bulletin 
HUMB,10,7,1,3,CW,12/5/85,35,1985,2407,1,,Parmelee and Parmalee Bulletin 
HUMB,10,33,1,3,CW,12/10/11,40,2011,587,1,,ASI
LITC,12,2,1,3,CW,12/6/80,36,1980,650,1,,Parmelee and Parmalee Bulletin 
LITC,12,5,1,3,CW,11/20/83,20,1983,635,1,,Parmelee and Parmalee Bulletin 
LITC,12,5,2,3,CW,12/26/83,56,1983,482,1,,Parmelee and Parmalee Bulletin 
LITC,12,6,1,3,CW,12/11/84,41,1984,549,1,,Parmelee and Parmalee Bulletin 
LITC,12,7,1,3,CW,12/12/85,42,1985,586,1,,Parmelee and Parmalee Bulletin 
PETE,15,4,1,3,CW,12/22/82,52,1982,987,1,,PP87
PETE,15,10,1,3,CW,xx/xx/1988,NA,1988,1080,3,,W93
PETE,15,16,1,3,CW,12/7/94,37,1994,807,1,,ASI (reconstructed from incomplete colony counts)
PETE,15,16,2,3,CW,12/11/94,41,1994,793,1,,ASI (reconstructed from incomplete colony counts)
PETE,15,16,3,3,CW,12/15/94,45,1994,704,1,,ASI (reconstructed from incomplete colony counts)
PETE,15,17,1,3,CW,11/20/95,20,1995,806,1,,ASI (reconstructed from incomplete colony counts)
PETE,15,17,2,3,CW,11/28/95,28,1995,827,1,,ASI (reconstructed from incomplete colony counts)
PETE,15,17,3,3,CW,12/3/95,33,1995,822,1,,ASI (reconstructed from incomplete colony counts)
PETE,15,17,4,3,CW,12/14/95,44,1995,813,1,,ASI (reconstructed from incomplete colony counts)
PETE,15,17,5,3,CW,12/16/95,46,1995,793,1,,ASI (reconstructed from incomplete colony counts)
PETE,15,18,1,3,CW,12/5/96,35,1996,644,1,,ASI (reconstructed from incomplete colony counts)
PETE,15,19,1,3,CW,11/23/97,23,1997,742,1,,ASI (reconstructed from incomplete colony counts)
PETE,15,22,1,3,CW,1/14/01,75,2000,926,1,,ASI
PETE,15,24,1,3,CW,12/10/02,40,2002,485,1,,ASI
PETE,15,25,1,3,CW,11/21/03,21,2003,553,1,,ASI at PETE
PETE,15,26,1,3,CW,11/21/04,21,2004,532,1,,ASI at PETE
PETE,15,27,1,3,CW,11/22/05,22,2005,479,1,,ASI at PETE
PETE,15,28,1,3,CW,11/21/06,21,2006,410,1,,ASI at PETE
PETE,15,29,1,3,CW,11/18/07,18,2007,390,1,,ASI at PETE
PETE,15,30,1,3,CW,11/19/08,19,2008,395,1,,ASI
PETE,15,30,2,3,CW,12/1/08,31,2008,330,1,,ASI
PETE,15,30,3,3,CW,12/27/08,57,2008,318,1,,ASI
PETE,15,31,1,3,CW,11/11/09,11,2009,367,1,,ASI
PETE,15,31,2,3,CW,12/14/09,44,2009,316,1,,ASI
PETE,15,31,3,3,CW,1/5/10,66,2009,269,1,,ASI
PETE,15,32,1,3,CW,12/5/10,35,2010,239,1,,ASI
PETE,15,34,1,3,CW,12/21/12,51,2012,297,1,,ASI
PETE,15,34,2,3,CW,1/7/13,68,2012,278,1,,ASI
PETE,15,35,1,3,CW,xx/xx/2013,NA,2013,292,1,,"Vernadsky, Pers. Comm."
PETE,15,35,2,3,CW,12/12/13,42,2013,283,1,,ASI
PETE,15,36,1,3,CW,1/3/15,64,2014,287,1,,ASI
TORG,17,1,1,3,CW,12/11/79,41,1979,8750,1,,Parmelee and Parmalee Bulletin 
TORG,17,2,1,3,CW,12/31/80,61,1980,8723,1,,Parmelee and Parmalee Bulletin 
TORG,17,4,1,3,CW,1/2/83,63,1982,5523,1,,Parmelee and Parmalee Bulletin 
TORG,17,5,1,3,CW,11/20/83,20,1983,8732,1,,Parmelee and Parmalee Bulletin 
TORG,17,5,2,3,CW,12/30/83,60,1983,5575,1,,Parmelee and Parmalee Bulletin 
TORG,17,7,1,3,CW,12/1/85,31,1985,8483,1,,Parmelee and Parmalee Bulletin 
TORG,17,13,1,3,CW,11/3/91,3,1991,3016,1,,Palmer LTER
TORG,17,14,1,3,CW,11/25/92,25,1992,2823,1,,Palmer LTER
TORG,17,15,1,3,CW,11/27/93,27,1993,2868,1,,Palmer LTER
TORG,17,16,1,3,CW,11/29/94,29,1994,2559,1,,Palmer LTER
TORG,17,17,1,3,CW,11/21/95,21,1995,2563,1,,Palmer LTER
TORG,17,18,1,3,CW,11/19/96,19,1996,1951,1,,Palmer LTER
TORG,17,19,1,3,CW,11/24/97,24,1997,1857,1,,Palmer LTER
TORG,17,20,1,3,CW,12/10/98,40,1998,1532,1,,Palmer LTER
TORG,17,21,1,3,CW,11/17/99,17,1999,1523,1,,Palmer LTER
TORG,17,22,1,3,CW,11/17/00,17,2000,1398,1,,Palmer LTER
TORG,17,23,1,3,CW,11/19/01,19,2001,764,1,,Palmer LTER
TORG,17,24,1,3,CW,11/16/02,16,2002,885,1,,Palmer LTER
TORG,17,25,1,3,CW,11/24/03,24,2003,851,1,,Palmer LTER
TORG,17,26,1,3,CW,12/6/04,36,2004,741,1,,Palmer LTER
TORG,17,27,1,3,CW,11/21/05,21,2005,519,1,,Palmer LTER
TORG,17,28,1,3,CW,11/15/06,15,2006,362,1,,Palmer LTER
TORG,17,29,1,3,CW,11/19/07,19,2007,246,1,,Palmer LTER
TORG,17,30,1,3,CW,11/16/08,16,2008,214,1,,Palmer LTER
TORG,17,31,1,3,CW,11/24/09,24,2009,216,1,,Palmer LTER
TORG,17,32,1,3,CW,11/19/10,19,2010,156,1,,Palmer LTER
YALO,18,4,1,3,CW,12/10/82,40,1982,5865,1,,PP87
YALO,18,25,1,3,CW,11/30/03,30,2003,4246,1,,ASI
YALO,18,25,2,3,CW,1/27/04,88,2003,4249,1,,ASI
YALO,18,30,1,3,CW,12/6/08,36,2008,2837,1,,ASI
YALO,18,31,1,3,CW,12/25/09,55,2009,2951,1,,ASI
YALO,18,34,1,3,CW,1/6/13,67,2012,2452,1,,ASI
DETA,7,25,1,4,SW,1/3/04,64,2003,452,1,,ASI
DETA,7,29,1,4,SW,12/7/07,37,2007,506,1,,ASI
DETA,7,29,2,4,SW,12/29/07,59,2007,494,1,,ASI
DETA,7,31,1,4,SW,12/24/09,54,2009,486,1,,ASI
DETA,7,34,1,4,SW,1/6/13,67,2012,430,1,,ASI
FISH,9,29,1,4,SW,12/18/07,48,2007,1161,1,,ASI
FISH,9,32,1,4,SW,1/4/11,65,2010,913,1,,ASI
FISH,9,34,1,4,SW,1/18/13,79,2012,912,1,,ASI
CRZE,19,7,1,5,RS,xx/xx/1985(86),NA,1985,140288,1,,Lyver et al.
CRZE,19,8,1,5,RS,xx/xx/1986(87),NA,1986,151540,1,,Lyver et al.
CRZE,19,9,1,5,RS,xx/xx/1987(88),NA,1987,144341,1,,Lyver et al.
CRZE,19,10,1,5,RS,xx/xx/1988(89),NA,1988,113199,1,,Lyver et al.
CRZE,19,11,1,5,RS,xx/xx/1989(90),NA,1989,116343,1,,Lyver et al.
CRZE,19,12,1,5,RS,xx/xx/1990(91),NA,1990,93032,1,,Lyver et al.
CRZE,19,13,1,5,RS,xx/xx/1991(92),NA,1991,100540,1,,Lyver et al.
CRZE,19,14,1,5,RS,xx/xx/1992(93),NA,1992,114415,1,,Lyver et al.
CRZE,19,15,1,5,RS,xx/xx/1993(94),NA,1993,101545,1,,Lyver et al.
CRZE,19,16,1,5,RS,xx/xx/1994(95),NA,1994,105103,1,,Lyver et al.
CRZE,19,17,1,5,RS,xx/xx/1995(96),NA,1995,98430,1,,Lyver et al.
CRZE,19,18,1,5,RS,xx/xx/1996(97),NA,1996,99532,1,,Lyver et al.
CRZE,19,19,1,5,RS,xx/xx/1997(98),NA,1997,132981,1,,Lyver et al.
CRZE,19,20,1,5,RS,xx/xx/1998(99),NA,1998,107672,1,,Lyver et al.
CRZE,19,21,1,5,RS,xx/xx/1999(00),NA,1999,139386,1,,Lyver et al.
CRZE,19,23,1,5,RS,xx/xx/2001(02),NA,2001,59170,1,,Lyver et al.
CRZE,19,24,1,5,RS,xx/xx/2002(03),NA,2002,147224,1,,Lyver et al.
CRZE,19,25,1,5,RS,xx/xx/2003(04),NA,2003,91346,1,,Lyver et al.
CRZE,19,26,1,5,RS,xx/xx/2004(05),NA,2004,157717,1,,Lyver et al.
CRZE,19,27,1,5,RS,xx/xx/2005(06),NA,2005,170246,1,,Lyver et al.
CRZE,19,28,1,5,RS,xx/xx/2006(07),NA,2006,184293,1,,Lyver et al.
CRZE,19,29,1,5,RS,xx/xx/2007(08),NA,2007,176342,1,,Lyver et al.
CRZE,19,30,1,5,RS,xx/xx/2008(09),NA,2008,172420,1,,Lyver et al.
CRZE,19,31,1,5,RS,xx/xx/2009(10),NA,2009,250453,1,,Lyver et al.
CRZE,19,32,1,5,RS,xx/xx/2010(11),NA,2010,245708,1,,Lyver et al.
CRZE,19,33,1,5,RS,xx/xx/2011(12),NA,2011,233585,1,,Lyver et al.
CRZE,19,34,1,5,RS,xx/xx/2012(13),NA,2012,242193,1,,Lyver et al.
CRZW,20,7,1,5,RS,xx/xx/1985(86),NA,1985,27378,1,,Lyver et al.
CRZW,20,8,1,5,RS,xx/xx/1986(87),NA,1986,28357,1,,Lyver et al.
CRZW,20,9,1,5,RS,xx/xx/1987(88),NA,1987,36168,1,,Lyver et al.
CRZW,20,10,1,5,RS,xx/xx/1988(89),NA,1988,18495,1,,Lyver et al.
CRZW,20,11,1,5,RS,xx/xx/1989(90),NA,1989,19966,1,,Lyver et al.
CRZW,20,12,1,5,RS,xx/xx/1990(91),NA,1990,16124,1,,Lyver et al.
CRZW,20,13,1,5,RS,xx/xx/1991(92),NA,1991,17680,1,,Lyver et al.
CRZW,20,14,1,5,RS,xx/xx/1992(93),NA,1992,20023,1,,Lyver et al.
CRZW,20,15,1,5,RS,xx/xx/1993(94),NA,1993,19912,1,,Lyver et al.
CRZW,20,16,1,5,RS,xx/xx/1994(95),NA,1994,15880,1,,Lyver et al.
CRZW,20,17,1,5,RS,xx/xx/1995(96),NA,1995,17341,1,,Lyver et al.
CRZW,20,18,1,5,RS,xx/xx/1996(97),NA,1996,18143,1,,Lyver et al.
CRZW,20,19,1,5,RS,xx/xx/1997(98),NA,1997,20415,1,,Lyver et al.
CRZW,20,20,1,5,RS,xx/xx/1998(99),NA,1998,17769,1,,Lyver et al.
CRZW,20,21,1,5,RS,xx/xx/1999(00),NA,1999,17055,1,,Lyver et al.
CRZW,20,21,1,5,RS,xx/xx/2000(01),NA,2000,12416,1,,Lyver et al.
CRZW,20,23,1,5,RS,xx/xx/2001(02),NA,2001,7944,1,,Lyver et al.
CRZW,20,24,1,5,RS,xx/xx/2002(03),NA,2002,13855,1,,Lyver et al.
CRZW,20,25,1,5,RS,xx/xx/2003(04),NA,2003,9497,1,,Lyver et al.
CRZW,20,26,1,5,RS,xx/xx/2004(05),NA,2004,24775,1,,Lyver et al.
CRZW,20,27,1,5,RS,xx/xx/2005(06),NA,2005,24203,1,,Lyver et al.
CRZW,20,28,1,5,RS,xx/xx/2006(07),NA,2006,21374,1,,Lyver et al.
CRZW,20,29,1,5,RS,xx/xx/2007(08),NA,2007,21648,1,,Lyver et al.
CRZW,20,30,1,5,RS,xx/xx/2008(09),NA,2008,21204,1,,Lyver et al.
CRZW,20,31,1,5,RS,xx/xx/2009(10),NA,2009,32062,1,,Lyver et al.
CRZW,20,32,1,5,RS,xx/xx/2010(11),NA,2010,33220,1,,Lyver et al.
CRZW,20,33,1,5,RS,xx/xx/2011(12),NA,2011,27786,1,,Lyver et al.
CRZW,20,34,1,5,RS,xx/xx/2012(13),NA,2012,30147,1,,Lyver et al.
