SITE,ROW,COLUMN,REPEAT,REGION,REGIONINDEX,DATE,JULIAN,MONTH,YEAR,COUNT,ACCURACY,NOTES,SOURCE
BOOT,4,32,2,CW,3,2/14/11,106,FEB,2010,12,1,,ASI
BISC,3,5,1,CW,3,xx/xx/1984,NA,NA,1983,3440,3,,MP for ASPA No. 139
CORM,6,1,1,CW,3,1/30/80,91,JAN,1979,1093,1,,Parmelee and Parmalee Bulletin 
CORM,6,2,1,CW,3,2/4/81,96,FEB,1980,1052,1,,Parmelee and Parmalee Bulletin 
HUMB,10,1,1,CW,3,2/9/80,101,FEB,1979,2420,1,,Parmelee and Parmalee Bulletin 
HUMB,10,2,1,CW,3,2/4/81,96,FEB,1980,4076,1,,Parmelee and Parmalee Bulletin 
LITC,12,1,1,CW,3,1/30/80,91,JAN,1979,673,1,,Parmelee and Parmalee Bulletin 
LITC,12,2,1,CW,3,2/4/81,96,FEB,1980,881,1,,Parmelee and Parmalee Bulletin 
PETE,15,20,1,CW,3,1/22/99,83,JAN,1998,1135,1,,ASI
PETE,15,21,1,CW,3,1/20/00,81,JAN,1999,935,1,,ASI
PETE,15,24,1,CW,3,1/23/03,84,JAN,2002,661,1,,ASI
PETE,15,25,1,CW,3,1/24/04,85,JAN,2003,731,1,,ASI at PETE
PETE,15,26,1,CW,3,2/4/05,96,FEB,2004,580,1,,ASI at PETE
PETE,15,27,1,CW,3,1/27/06,88,JAN,2005,589,1,,ASI at PETE
PETE,15,28,1,CW,3,2/4/07,96,FEB,2006,458,1,,ASI at PETE
PETE,15,29,1,CW,3,1/30/08,91,JAN,2007,434,1,,ASI at PETE
PETE,15,30,1,CW,3,1/12/09,73,JAN,2008,438,1,,ASI
PETE,15,30,2,CW,3,1/18/09,79,JAN,2008,431,1,,ASI
PETE,15,31,1,CW,3,1/28/10,89,JAN,2009,450,1,,ASI
PETE,15,34,1,CW,3,2/3/13,95,FEB,2012,439,1,,ASI
PETE,15,35,1,CW,3,1/20/14,81,JAN,2013,382,1,,ASI
PETE,15,36,1,CW,3,1/14/15,75,JAN,2014,419,1,,ASI
PETE,15,36,2,CW,3,1/20/15,81,JAN,2014,445,1,,ASI
PETE,15,36,3,CW,3,1/30/15,91,JAN,2014,475,1,,ASI
TORG,17,3,1,CW,3,1/27/82,88,JAN,1981,6500,1,,Parmelee and Parmalee Bulletin 
TORG,17,13,1,CW,3,1/26/92,87,JAN,1991,2493,1,,Palmer LTER
TORG,17,14,1,CW,3,1/26/93,87,JAN,1992,2751,1,,Palmer LTER
TORG,17,15,1,CW,3,1/23/94,84,JAN,1993,3015,1,,Palmer LTER
TORG,17,16,1,CW,3,1/16/95,77,JAN,1994,2493,1,,Palmer LTER
TORG,17,17,1,CW,3,1/18/96,79,JAN,1995,2119,1,,Palmer LTER
TORG,17,18,1,CW,3,1/25/97,86,JAN,1996,1540,1,,Palmer LTER
TORG,17,19,1,CW,3,1/30/98,91,JAN,1997,1409,1,,Palmer LTER
TORG,17,20,1,CW,3,1/24/99,85,JAN,1998,1136,1,,Palmer LTER
TORG,17,21,1,CW,3,1/25/00,86,JAN,1999,961,1,,Palmer LTER
TORG,17,22,1,CW,3,1/24/01,85,JAN,2000,997,1,,Palmer LTER
TORG,17,23,1,CW,3,1/23/02,84,JAN,2001,260,1,,Palmer LTER
TORG,17,24,1,CW,3,1/25/03,86,JAN,2002,524,1,,Palmer LTER
TORG,17,25,1,CW,3,1/21/04,82,JAN,2003,505,1,,Palmer LTER
TORG,17,26,1,CW,3,1/26/05,87,JAN,2004,320,1,,Palmer LTER
YALO,18,25,1,CW,3,1/27/04,88,JAN,2003,5558,1,,ASI
DETA,7,7,1,SW,4,2/9/86,101,FEB,1985,858,1,,PP87
DETA,7,24,1,SW,4,1/13/03,74,JAN,2002,925,3,,ASI
DETA,7,30,1,SW,4,1/24/09,85,JAN,2008,458,1,,ASI
DETA,7,30,2,SW,4,2/13/09,105,FEB,2008,289,1,,ASI
DETA,7,32,1,SW,4,1/14/11,75,JAN,2010,490,1,,ASI
DETA,7,35,1,SW,4,1/22/14,83,JAN,2013,561,1,,ASI
FISH,9,24,1,SW,4,1/13/03,74,JAN,2002,1634,1,,ASI
FISH,9,29,1,SW,4,2/11/08,103,FEB,2007,1653,1,,ASI
FISH,9,30,1,SW,4,2/5/09,97,FEB,2008,810,1,,ASI
FISH,9,34,1,SW,4,1/18/13,79,JAN,2012,1608,1,,ASI
